person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2
23,287000,RENT,3.0,EDUCATION,B,24250,12.53,0,0.08,N,3
24,238000,RENT,2.0,VENTURE,D,10000,13.67,1,0.04,N,2
25,241875,MORTGAGE,4.0,EDUCATION,A,16000,7.05,0,0.07,N,4
24,243600,MORTGAGE,6.0,MEDICAL,A,12000,6.03,0,0.05,N,3
21,249996,MORTGAGE,5.0,PERSONAL,A,5000,8.59,0,0.02,N,3
26,250000,MORTGAGE,10.0,EDUCATION,A,15000,7.49,0,0.06,N,2
26,250000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,9000,9.99,0,0.04,N,2
25,250000,MORTGAGE,4.0,EDUCATION,A,10575,6.99,0,0.04,N,2
23,250000,MORTGAGE,7.0,EDUCATION,B,8800,10.0,0,0.04,N,2
24,238000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,7000,7.66,1,0.03,N,2
26,238000,MORTGAGE,2.0,EDUCATION,B,25000,9.25,1,0.11,N,4
25,253000,MORTGAGE,5.0,HOMEIMPROVEMENT,F,25000,17.26,1,0.1,N,4
23,294000,MORTGAGE,6.0,EDUCATION,A,15000,8.9,0,0.05,N,4
26,244800,MORTGAGE,11.0,MEDICAL,D,12000,16.29,1,0.04,Y,4
24,300000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,35000,9.99,0,0.12,N,3
23,300000,MORTGAGE,5.0,EDUCATION,D,10000,15.65,0,0.03,Y,2
26,315000,MORTGAGE,10.0,DEBTCONSOLIDATION,C,12000,13.47,0,0.04,N,3
24,330000,MORTGAGE,5.0,PERSONAL,B,3500,10.36,0,0.01,N,4
25,365000,MORTGAGE,7.0,VENTURE,B,35000,10.65,0,0.1,N,2
25,370000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,15000,12.99,0,0.04,Y,2
24,375000,MORTGAGE,9.0,DEBTCONSOLIDATION,C,20000,11.41,0,0.05,N,3
24,425000,MORTGAGE,8.0,EDUCATION,A,10000,7.88,0,0.02,N,2
25,450000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,35000,11.11,0,0.08,N,4
26,480000,MORTGAGE,2.0,EDUCATION,E,25000,14.38,0,0.05,N,3
25,306000,RENT,2.0,PERSONAL,C,24250,13.85,0,0.08,N,4
24,425000,MORTGAGE,8.0,EDUCATION,A,10000,7.88,0,0.02,N,3
32,1200000,MORTGAGE,1.0,VENTURE,A,12000,7.51,0,0.01,N,8
34,948000,MORTGAGE,18.0,PERSONAL,B,2000,9.99,0,0.0,N,7
35,648000,MORTGAGE,6.0,PERSONAL,E,10000,17.19,1,0.02,Y,8
30,504000,RENT,4.0,DEBTCONSOLIDATION,B,3000,11.36,0,0.01,N,9
35,500000,MORTGAGE,17.0,DEBTCONSOLIDATION,C,20000,13.85,0,0.04,Y,7
35,500000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,7500,12.29,0,0.01,Y,9
33,468000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,3750,15.62,1,0.01,Y,10
33,400000,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.04,N,10
31,400000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,28000,7.49,0,0.07,N,6
29,400000,MORTGAGE,10.0,EDUCATION,B,25000,11.12,0,0.06,N,8
34,325550,MORTGAGE,3.0,MEDICAL,D,35000,16.77,1,0.09,Y,6
33,390000,MORTGAGE,8.0,MEDICAL,B,35000,10.99,0,0.09,N,8
27,390000,MORTGAGE,11.0,PERSONAL,B,10000,11.26,0,0.03,N,6
33,250000,RENT,0.0,MEDICAL,A,35000,7.29,0,0.14,N,7
30,350000,OWN,3.0,PERSONAL,A,32000,6.62,0,0.09,N,7
33,350000,MORTGAGE,0.0,VENTURE,C,10000,14.65,0,0.03,Y,10
28,350000,RENT,1.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.06,N,9
35,350000,MORTGAGE,10.0,VENTURE,D,35000,17.49,0,0.1,N,7
29,338000,RENT,3.0,HOMEIMPROVEMENT,F,24000,17.8,1,0.07,N,8
34,287300,RENT,1.0,MEDICAL,C,15000,12.41,1,0.04,Y,8
32,348000,MORTGAGE,16.0,MEDICAL,B,25000,11.83,0,0.07,N,8
30,340000,MORTGAGE,2.0,HOMEIMPROVEMENT,F,25000,18.3,0,0.07,N,8
28,336000,RENT,1.0,VENTURE,C,2150,13.06,0,0.01,Y,5
34,334000,OWN,18.0,EDUCATION,C,18000,12.68,0,0.05,Y,10
32,307000,OWN,10.0,VENTURE,C,11000,14.26,0,0.04,Y,10
31,305000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,35000,17.58,0,0.11,Y,10
27,300000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,10000,14.27,0,0.03,Y,7
30,300000,MORTGAGE,13.0,EDUCATION,B,4000,10.65,0,0.01,N,10
34,300000,MORTGAGE,18.0,DEBTCONSOLIDATION,B,16000,10.74,0,0.05,N,9
29,244800,RENT,8.0,MEDICAL,D,8000,14.09,1,0.03,N,5
31,300000,MORTGAGE,1.0,VENTURE,D,25000,14.83,0,0.08,N,9
32,288000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.09,Y,10
28,288000,RENT,5.0,DEBTCONSOLIDATION,E,25000,17.93,1,0.09,N,8
34,286000,MORTGAGE,11.0,VENTURE,A,30000,6.62,0,0.1,N,6
34,285000,RENT,5.0,EDUCATION,B,21000,11.71,0,0.07,N,10
33,285000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,10000,13.99,0,0.04,N,7
28,285000,MORTGAGE,4.0,PERSONAL,E,25000,16.32,0,0.09,N,6
35,280000,MORTGAGE,19.0,HOMEIMPROVEMENT,C,21600,12.99,0,0.08,N,8
29,280000,MORTGAGE,6.0,VENTURE,C,15000,12.99,0,0.05,N,7
28,280000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,20000,11.36,0,0.07,N,5
31,275000,MORTGAGE,9.0,PERSONAL,C,25000,13.85,0,0.09,N,6
31,273655,MORTGAGE,4.0,DEBTCONSOLIDATION,A,19600,7.51,0,0.07,N,5
27,258000,RENT,11.0,EDUCATION,E,35000,18.64,1,0.14,Y,7
30,270000,MORTGAGE,7.0,HOMEIMPROVEMENT,E,35000,19.69,0,0.13,N,8
30,270000,MORTGAGE,14.0,DEBTCONSOLIDATION,B,21000,11.26,0,0.08,N,6
30,267000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,25000,10.36,0,0.09,N,9
29,260000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,20000,10.37,0,0.08,N,9
31,260000,MORTGAGE,14.0,VENTURE,A,18000,8.94,0,0.07,N,9
31,260000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,25000,13.57,0,0.1,Y,10
31,258000,MORTGAGE,3.0,PERSONAL,A,28000,5.99,0,0.11,N,5
28,250000,MORTGAGE,3.0,PERSONAL,B,35000,11.71,0,0.14,N,7
27,238000,RENT,11.0,HOMEIMPROVEMENT,D,12000,17.27,1,0.05,N,7
29,250000,MORTGAGE,12.0,VENTURE,A,8000,7.51,0,0.03,N,10
31,250000,MORTGAGE,2.0,MEDICAL,C,4000,14.22,0,0.02,Y,10
35,250000,OWN,8.0,VENTURE,B,15000,9.88,0,0.06,N,5
27,240000,MORTGAGE,1.0,EDUCATION,A,35000,7.9,0,0.15,N,7
32,240000,MORTGAGE,5.0,MEDICAL,A,8400,7.51,0,0.04,N,5
31,240000,MORTGAGE,15.0,MEDICAL,A,5500,5.42,0,0.02,N,5
29,240000,MORTGAGE,5.0,VENTURE,A,10000,8.49,0,0.04,N,8
30,240000,MORTGAGE,8.0,VENTURE,D,28000,16.49,0,0.12,Y,7
28,240000,MORTGAGE,3.0,VENTURE,D,8400,15.31,0,0.04,N,8
29,240000,MORTGAGE,10.0,EDUCATION,A,5000,7.88,0,0.02,N,8
30,240000,RENT,7.0,PERSONAL,A,18000,7.88,0,0.07,N,10
32,235000,RENT,1.0,PERSONAL,C,25000,12.53,0,0.11,Y,7
33,248735,RENT,4.0,DEBTCONSOLIDATION,D,25000,14.11,1,0.1,Y,6
31,636000,RENT,2.0,DEBTCONSOLIDATION,B,17500,11.48,0,0.03,N,10
35,510000,RENT,1.0,PERSONAL,C,1800,13.48,0,0.0,N,6
31,351699,RENT,7.0,VENTURE,D,10500,15.7,0,0.03,N,6
29,300000,RENT,5.0,PERSONAL,B,4800,10.99,0,0.02,N,6
27,275000,RENT,7.0,HOMEIMPROVEMENT,D,10000,14.91,0,0.04,Y,10
28,276000,RENT,1.0,PERSONAL,A,5000,6.62,0,0.02,N,10
33,612000,RENT,3.0,DEBTCONSOLIDATION,C,5950,12.73,0,0.01,Y,9
28,240000,RENT,2.0,MEDICAL,B,6000,11.46,0,0.03,N,6
34,564000,RENT,2.0,MEDICAL,A,6000,7.14,0,0.01,N,5
