,Unnamed: 0,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_bin,person_income_bin,person_emp_length_bin,loan_amnt_bin,loan_percent_income_bin,cb_person_cred_hist_length_bin,loan_intent_bin
0,1,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,loan_amnt_Bin1,loan_percent_income_Bin2,cb_person_cred_hist_length_Bin1,bin2
1,2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,person_age_Bin2,person_income_Bin1,person_emp_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin4
2,3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,person_age_Bin2,person_income_Bin4,person_emp_length_Bin3,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin4
3,4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,person_age_Bin2,person_income_Bin4,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin4
4,5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,person_age_Bin1,person_income_Bin1,person_emp_length_Bin2,loan_amnt_Bin1,loan_percent_income_Bin4,cb_person_cred_hist_length_Bin1,bin1
5,6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,person_age_Bin3,person_income_Bin4,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin2
6,7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,person_age_Bin2,person_income_Bin4,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin4
7,8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin3
8,9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,loan_amnt_Bin1,loan_percent_income_Bin3,cb_person_cred_hist_length_Bin1,bin1
9,10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,person_age_Bin1,person_income_Bin5,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin1
10,11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,person_age_Bin1,person_income_Bin1,person_emp_length_Bin2,loan_amnt_Bin1,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin4
11,12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,person_age_Bin2,person_income_Bin5,person_emp_length_Bin2,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin1
12,13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,person_age_Bin3,person_income_Bin5,person_emp_length_Bin3,loan_amnt_Bin5,loan_percent_income_Bin5,cb_person_cred_hist_length_Bin1,bin2
13,14,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,person_age_Bin2,person_income_Bin5,person_emp_length_Bin2,loan_amnt_Bin5,loan_percent_income_Bin5,cb_person_cred_hist_length_Bin1,bin2
14,16,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,person_age_Bin2,person_income_Bin5,person_emp_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,cb_person_cred_hist_length_Bin1,bin2
15,17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin5,cb_person_cred_hist_length_Bin1,bin4
16,18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,loan_amnt_Bin5,loan_percent_income_Bin5,cb_person_cred_hist_length_Bin1,bin5
17,19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,person_age_Bin2,person_income_Bin1,person_emp_length_Bin4,loan_amnt_Bin1,loan_percent_income_Bin3,cb_person_cred_hist_length_Bin1,bin2
18,22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,person_age_Bin1,person_income_Bin4,person_emp_length_Bin3,loan_amnt_Bin5,loan_percent_income_Bin6,cb_person_cred_hist_length_Bin1,bin2
